Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units,PERCENT_HISP,PERCENT_WHITE
140,6,111,,,1001,Census Tract 10.01,2488,496,1875,11,27,28,3,5,43,1091,1011,80,0.199356913,0.753617363
140,6,111,,,1002,Census Tract 10.02,6834,1719,4780,40,52,97,3,20,123,2868,2650,218,0.251536435,0.699443957
140,6,111,,,1101,Census Tract 11.01,4491,1168,3129,11,39,55,2,10,77,1787,1680,107,0.260075707,0.696726787
140,6,111,,,1102,Census Tract 11.02,3539,699,2656,19,18,70,0,3,74,1441,1337,104,0.197513422,0.75049449
140,6,111,,,1201,Census Tract 12.01,4235,1465,2441,76,21,124,6,3,99,1788,1712,76,0.3459268,0.576387249
140,6,111,,,1202,Census Tract 12.02,7191,1523,5028,67,23,288,9,7,246,2450,2408,42,0.211792518,0.699207343
140,6,111,,,1204,Census Tract 12.04,2473,1142,1197,20,16,31,4,5,58,833,783,50,0.461787303,0.484027497
140,6,111,,,1206,Census Tract 12.06,941,135,745,3,4,21,1,0,32,630,416,214,0.1434644,0.791710946
140,6,111,,,1301,Census Tract 13.01,7724,3108,3875,130,39,316,10,14,232,2700,2584,116,0.402382185,0.501683066
140,6,111,,,1302,Census Tract 13.02,1778,1022,663,29,11,33,0,0,20,744,696,48,0.57480315,0.372890889
140,6,111,,,1401,Census Tract 14.01,3950,952,2648,24,24,190,1,5,106,1424,1400,24,0.241012658,0.670379747
140,6,111,,,1402,Census Tract 14.02,5677,1523,3617,83,34,225,11,17,167,2215,2155,60,0.268275498,0.637132288
140,6,111,,,1502,Census Tract 15.02,8668,2988,4696,168,39,524,24,5,224,3810,3600,210,0.344716198,0.541762806
