Income,Census Tract
26366.00,211320
32772.00,211410
31109.00,211420
49695.00,211500
59013.00,211701
41672.00,211703
35828.00,211704
28750.00,211802
37574.00,211803
37401.00,211804
28295.00,211910
30432.00,211921
40599.00,211922
42083.00,212101
28900.00,212102
27030.00,212202
23765.00,212203
26892.00,212204
28185.00,212303
28281.00,212304
33623.00,212305
30318.00,212306
35224.00,212410
25203.00,212420
46127.00,212501
42670.00,212502
38676.00,212610
35833.00,212620
56397.00,212701
72867.00,212702
44432.00,212800
24913.00,212900
37231.00,213100
30477.00,213201
26305.00,213202
29156.00,213310
26080.00,213320
35856.00,213401
36858.00,213402
101830.00,214000
116103.00,214100
79076.00,214400
69231.00,214501
54461.00,214502
87885.00,214503
69643.00,214600
78039.00,214700
91096.00,214800
71725.00,214901
51378.00,214902
60382.00,215101
57347.00,215102
80564.00,216100
61959.00,216200
56510.00,216300
43500.00,216401
44786.00,216402
54257.00,216700
108558.00,216800
54892.00,216900
75809.00,217001
52631.00,217002
49682.00,217100
47179.00,217200
37922.00,218110
33554.00,218120
31743.00,218210
41477.00,218220
38610.00,218300
38396.00,218400
36958.00,218500
36152.00,218600
43634.00,218701
28220.00,218702
41558.00,218800
30071.00,218900
37217.00,219010
38357.00,219020
27826.00,219300
58355.00,219500
31250.00,219700
43476.00,219800
29269.00,219901
34917.00,219902
36721.00,220000
28750.00,220100
21637.00,221110
30125.00,221120
33000.00,221210
33897.00,221220
28701.00,221302
25809.00,221303
23736.00,221304
19618.00,221401
31300.00,221402
23275.00,221500
31571.00,221601
24849.00,221602
23696.00,221710
15893.00,221810
12742.00,221820
11994.00,221900
35521.00,222001
38583.00,222002
35167.00,222100
29688.00,222200
35417.00,222500
23535.00,222600
11484.00,222700
16138.00,224010
25647.00,224020
21167.00,224200
29635.00,224310
19573.00,224320
24309.00,224410
18576.00,224420
34896.00,224600
11124.00,224700
25714.00,226001
23558.00,226002
20978.00,226410
33563.00,226420
29653.00,226700
33088.00,227010
28281.00,227020
28819.00,228100
33433.00,228210
31655.00,228220
30417.00,228310
30174.00,228320
26991.00,228410
30101.00,228420
32128.00,228500
22522.00,228600
28382.00,228710
37163.00,228720
22448.00,228800
17372.00,228900
43750.00,229100
24772.00,229200
25833.00,229300
34882.00,229410
35167.00,229420
27708.00,231100
29388.00,231210
23632.00,231220
32458.00,231300
38159.00,231400
37005.00,231500
33889.00,231600
26013.00,231710
24033.00,231720
25871.00,231800
28881.00,231900
21438.00,232110
29571.00,232120
31346.00,232200
29032.00,232300
35352.00,232400
22617.00,232500
37371.00,232600
35375.00,232700
28854.00,232800
47775.00,234000
62768.00,234200
38734.00,234300
33711.00,234501
33785.00,234502
44444.00,234600
34000.00,234700
52744.00,234800
22798.00,234901
27443.00,234902
68424.00,235100
22159.00,235201
25902.00,235202
66010.00,236000
22018.00,236100
24375.00,236202
26989.00,236203
26512.00,236204
52188.00,236400
27145.00,237101
24783.00,237102
34722.00,237201
36903.00,237202
32967.00,237300
34133.00,237401
26919.00,237402
38207.00,237500
21307.00,237600
44901.00,237710
17207.00,237720
48413.00,237800
53587.00,237900
57500.00,238000
44435.00,238100
36178.00,238200
18879.00,238310
23942.00,238320
39848.00,238400
23750.00,239201
37598.00,239202
32944.00,239310
27708.00,239320
37179.00,239330
27005.00,239501
30500.00,239502
32860.00,239601
33240.00,239602
25199.00,239701
34688.00,239702
36955.00,239801
37900.00,239802
21051.00,240010
40219.00,240020
27864.00,240200
32368.00,240300
32455.00,240401
28750.00,240402
29931.00,240500
29699.00,240600
34583.00,240700
28535.00,240800
31852.00,240900
38203.00,241001
41714.00,241002
33355.00,241110
29031.00,241120
30236.00,241201
34087.00,241202
22245.00,241300
37625.00,241400
32772.00,242000
11772.00,242100
33884.00,242200
36250.00,242300
15787.00,242600
28826.00,242700
37412.00,243000
24871.00,243100
212841.00,261101
192686.00,261102
158281.00,261200
242935.00,262100
214250.00,262200
194621.00,262301
169861.00,262302
196761.00,262303
192000.00,262400
147344.00,262501
181500.00,262601
150417.00,262604
97083.00,262704
167031.00,262706
154886.00,262802
129750.00,264000
63963.00,264102
74458.00,264103
80677.00,264301
93679.00,264302
139688.00,265100
96467.00,265201
80530.00,265202
-,265301
24354.00,265303
13111.00,265304
17896.00,265305
111250.00,265410
142738.00,265420
61167.00,265510
84554.00,265520
91402.00,265601
113099.00,265602
90123.00,265700
88667.00,267100
67604.00,267200
51156.00,267300
71848.00,267402
51914.00,267403
78097.00,267404
62640.00,267501
63125.00,267502
68750.00,267600
62417.00,267700
76369.00,267800
104808.00,267901
80691.00,267902
108824.00,269000
67500.00,269100
