Income,Census Tract
"52,391",208620
"58,788",208710
"33,458",208720
"40,704",208801
"39,400",208802
"35,313",208902
"42,285",208903
"22,961",208904
"29,056",209103
"28,088",209104
"28,156",209105
"37,067",209106
"83,313",209201
"36,188",209202
"30,540",209300
"30,970",209401
"37,388",209402
"22,259",209403
"32,361",209510
"35,395",209520
"32,321",209810
"36,500",209820
"30,703",210010
"135,612",211000
"65,912",211121
"51,484",211122
"64,348",211123
"53,055",211124
"52,223",211201
"42,389",211202
"44,545",211310
"33,247",211320
"51,921",211410
"48,333",211420
"61,538",211500
"66,563",211701
"51,299",211703
"39,875",211704
"45,120",211802
"54,922",211803
"41,843",211804
"54,675",211910
"37,375",211921
"48,036",211922
"50,640",212101
"31,864",212102
"36,920",212202
"32,750",212203
"33,259",212204
"41,328",212303
"31,197",212304
"32,557",212305
"37,466",212306
"45,114",212410
"45,465",212420
"44,797",212501
"53,900",212502
"51,920",212610
"45,464",212620
"59,196",212701
"86,750",212702
"50,053",212800
"43,788",212900
"42,250",213100
"35,829",213201
"38,147",213202
"52,724",213310
"27,127",213320
"36,333",213401
"43,603",213402
"146,923",214000
"103,901",214100
"83,314",214400
"95,861",214501
"76,131",214503
"67,083",214504
"63,000",214505
"113,512",214600
"107,692",214700
"100,573",214800
"101,399",214902
"58,750",214903
"71,036",214904
"68,148",215101
"76,221",215102
"120,526",216100
"102,254",216201
"91,281",216202
-,216301
"83,417",216302
"86,504",216401
"79,583",216402
"105,455",216700
"111,929",216800
"84,102",216901
"95,337",216902
"105,532",217001
"98,265",217002
"85,294",217101
"67,212",217102
"60,250",217200
"39,335",218110
"33,902",218120
"38,207",218210
"73,455",218220
"59,149",218300
"67,426",218400
"43,156",218500
"61,970",218600
"58,000",218701
"41,705",218702
"45,880",218800
"44,652",218900
"53,088",219010
"59,327",219020
"51,941",219300
"76,750",219500
"55,214",219700
"46,625",219800
"45,318",219901
"59,901",219902
"37,805",220000
"33,944",220100
"34,261",221110
"44,265",221120
"53,453",221210
"52,623",221220
"33,873",221302
"34,643",221303
"47,604",221304
"25,747",221401
"36,289",221402
